meta_data1,meta_data2
"00187-trunc-0.60-c_no_angles_21,29--0,4-0,6-769,2000122070312.png",14
"00187-trunc-0.60-c_no_angles_21,3--0,4-0,6-728,0999755859375.png",19
"00187-trunc-0.60-c_no_angles_21,32--0,3-0,6-644,4000244140625.png",28
"00187-trunc-0.60-c_no_angles_21,37--0,4-0,6-695,4000244140625.png",26
"00187-trunc-0.60-c_no_angles_21,42--0,4-0,6-688,4000244140625.png",15
"00187-trunc-0.60-c_no_angles_21,82--0,3-0,6-808,7999877929688.png",26
"00187-trunc-0.60-c_no_angles_21,85--0,2-0,6-807,2999877929688.png",28
"00187-trunc-0.60-c_no_angles_22,09--0,3-0,6-631,7000122070312.png",21
"00187-trunc-0.60-c_no_angles_22,11--0,5-0,6-692,0.png",18
"00187-trunc-0.60-c_no_angles_22,45--0,7-0,6-909,0999755859375.png",12
"00187-trunc-0.60-c_no_angles_22,5--0,4-0,6-767,5.png",23
"00187-trunc-0.60-c_no_angles_22,51--0,4-0,6-695,7999877929688.png",17
"00187-trunc-0.60-c_no_angles_22,74--0,4-0,6-860,4000244140625.png",22
"00187-trunc-0.60-c_no_angles_22,93--0,5-0,6-705,5999755859375.png",18
"00187-trunc-0.60-c_no_angles_22,95--0,4-0,6-986,2000122070312.png",20
"00187-trunc-0.60-c_no_angles_23,12--0,3-0,6-772,0999755859375.png",25
"00187-trunc-0.60-c_no_angles_23,37--0,3-0,6-567,7000122070312.png",23
"00187-trunc-0.60-c_no_angles_24,01--0,3-0,6-808,4000244140625.png",23
"00187-trunc-0.60-c_no_angles_24,35--0,3-0,6-672,0999755859375.png",27
"00187-trunc-0.60-c_no_angles_24,69--0,5-0,6-778,7000122070312.png",22
"00187-trunc-0.60-c_no_angles_25,06--0,4-0,6-732,4000244140625.png",28
"00187-trunc-0.60-c_no_angles_25,45--0,4-0,6-722,0999755859375.png",19
"00187-trunc-0.60-c_no_angles_26,03--0,3-0,6-792,7000122070312.png",28
"00187-trunc-0.60-c_no_angles_26,05--0,3-0,6-539,9000244140625.png",31
"00187-trunc-0.60-c_no_angles_26,09--0,4-0,6-655,5.png",26
"00187-trunc-0.60-c_no_angles_26,12--0,2-0,6-708,9000244140625.png",32
"00187-trunc-0.60-c_no_angles_26,38--0,3-0,6-772,0.png",25
"00187-trunc-0.60-c_no_angles_26,4--0,1-0,6-811,0.png",34
